traj #,traj frame,x,y,z,intensity,area,frame1
4077,0,16.0,54.0,34.0,561495.5,181.0,16.0
4078,0,59.0,13.0,17.0,561493.06,181.0,59.0
4079,0,74.0,111.0,36.0,561491.6,181.0,74.0
4080,0,30.0,99.0,31.0,561483.7,181.0,30.0
4081,0,113.0,50.0,16.0,561429.8,181.0,113.0
4082,0,110.0,41.0,24.0,561358.0,181.0,110.0
4083,0,72.0,14.0,11.0,561349.9,181.0,72.0
4084,0,25.0,96.0,18.0,561343.0,181.0,25.0
4085,0,112.0,46.0,13.0,561333.4,181.0,112.0
4086,0,112.0,58.0,27.0,561323.75,181.0,112.0
4087,0,93.0,105.0,10.0,561314.56,181.0,93.0
4088,0,26.0,30.0,26.0,561282.44,181.0,26.0
4089,0,103.0,91.0,5.0,561221.6,181.0,103.0
4090,0,77.0,112.0,29.0,561201.75,181.0,77.0
4091,0,43.0,19.0,29.0,561189.94,181.0,43.0
4092,0,43.0,19.0,32.0,561167.44,181.0,43.0
4093,0,47.0,112.0,28.0,561166.44,181.0,47.0
4094,0,62.0,115.0,10.0,561164.8,181.0,62.0
4095,0,109.0,48.0,4.0,561112.7,181.0,109.0
4096,0,14.0,61.0,10.0,561107.7,181.0,14.0
4097,0,22.0,90.0,4.0,561077.5,181.0,22.0
4098,0,27.0,31.0,29.0,561059.56,181.0,27.0
4099,0,82.0,18.0,29.0,561036.8,181.0,82.0
4100,0,20.0,45.0,36.0,561008.1,181.0,20.0
4101,0,14.0,65.0,18.0,561002.56,181.0,14.0
4102,0,33.0,104.0,19.0,560972.8,181.0,33.0
4103,0,43.0,110.0,24.0,560945.2,181.0,43.0
4104,0,40.0,105.0,37.0,560933.6,181.0,40.0
4105,0,99.0,101.0,26.0,560903.9,181.0,99.0
4106,0,108.0,89.0,25.0,560886.75,181.0,108.0
4107,0,15.0,50.0,19.0,560885.1,181.0,15.0
4108,0,67.0,14.0,7.0,560884.56,181.0,67.0
4109,0,66.0,13.0,12.0,560837.5,181.0,66.0
4110,0,114.0,71.0,12.0,560832.2,181.0,114.0
4111,0,36.0,104.0,35.0,560812.1,181.0,36.0
4112,0,89.0,20.0,28.0,560805.0,181.0,89.0
4113,0,52.0,15.0,28.0,560794.25,181.0,52.0
4114,0,114.0,62.0,7.0,560787.9,181.0,114.0
4115,0,67.0,13.0,25.0,560778.25,181.0,67.0
4116,0,116.0,65.0,24.0,560703.25,181.0,116.0
4117,0,106.0,43.0,37.0,560690.44,181.0,106.0
4118,0,21.0,88.0,27.0,560661.7,181.0,21.0
4119,0,15.0,75.0,31.0,560660.75,181.0,15.0
